Model,Train R2,Test R2,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE
Linear Regression,0.7331509720624586,0.7982205090000273,17.261631355501187,14.561416968013031,4.154711946152367,3.81594247441088,3.040714466961456,2.9095922408598804
Non-Linear Regression (degree=2),0.7552251329478797,0.7808724828251601,15.83372273379413,15.813337276922322,3.9791610590417332,3.976598707051332,2.9286512900111235,3.162958366248702
